trigger	scenario	tenuring_age	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
automatic	ephemeral	1	4194304	0	8	24576	253960917	4831838208	23	0	96867712	31560	96836152	31560	2501000	2229696	4194304	47	4849664	16044331	771250	0	0	0	0
automatic	ephemeral	1	4194304	1	8	24576	256216458	4831838208	23	0	96867712	31560	96836152	31560	2501000	2229696	4194304	47	4849664	16374499	867958	0	0	0	0
automatic	ephemeral	1	4194304	2	8	24576	255377417	4831838208	23	0	96867712	31560	96836152	31560	2501000	2229696	4194304	47	4849664	16065167	806125	0	0	0	0
automatic	ephemeral	1	4194304	3	8	24576	256959500	4831838208	23	0	96867712	29544	96838168	29544	2498984	2229696	4194304	47	4849664	15971707	729542	0	0	0	0
automatic	ephemeral	1	4194304	4	8	24576	257965959	4831838208	23	0	96867712	31560	96836152	31560	2501000	2229696	4194304	47	4849664	15989749	755041	0	0	0	0
automatic	ephemeral	1	4194304	5	8	24576	256562042	4831838208	23	0	96867712	31560	96836152	31560	2501000	2229696	4194304	47	4849664	16098915	762167	0	0	0	0
automatic	ephemeral	1	4194304	6	8	24576	256457083	4831838208	23	0	96867712	31560	96836152	31560	2501000	2229696	4194304	47	4849664	16064665	787500	0	0	0	0
automatic	ephemeral	3	4194304	0	8	24576	255119417	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16378833	751250	0	0	0	0
automatic	ephemeral	3	4194304	1	8	24576	257760250	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16368372	739000	0	0	0	0
automatic	ephemeral	3	4194304	2	8	24576	259464958	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16011834	726083	0	0	0	0
automatic	ephemeral	3	4194304	3	8	24576	255917458	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16199043	743375	0	0	0	0
automatic	ephemeral	3	4194304	4	8	24576	254665209	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16146834	766584	0	0	0	0
automatic	ephemeral	3	4194304	5	8	24576	250644667	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16328080	760875	0	0	0	0
automatic	ephemeral	3	4194304	6	8	24576	259359916	4831838208	23	0	96889480	50680	96838800	7240	2498352	2251368	4194304	47	4849664	16424377	753583	0	0	0	0
automatic	ephemeral	1	8388608	0	8	24576	260199458	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16340124	1474750	0	0	0	0
automatic	ephemeral	1	8388608	1	8	24576	256871291	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16086708	1478167	0	0	0	0
automatic	ephemeral	1	8388608	2	8	24576	258248917	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16159502	1471417	0	0	0	0
automatic	ephemeral	1	8388608	3	8	24576	256511208	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16211128	1474875	0	0	0	0
automatic	ephemeral	1	8388608	4	8	24576	258009458	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16153208	1442166	0	0	0	0
automatic	ephemeral	1	8388608	5	8	24576	258944625	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16255583	1484708	0	0	0	0
automatic	ephemeral	1	8388608	6	8	24576	261300750	4831838208	22	0	96847048	29416	96817632	29416	2519520	2250360	4194304	87	9043968	16153208	1464334	0	0	0	0
automatic	ephemeral	3	8388608	0	8	24576	257526167	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16032206	1433292	0	0	0	0
automatic	ephemeral	3	8388608	1	8	24576	256618583	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16310915	1483292	0	0	0	0
automatic	ephemeral	3	8388608	2	8	24576	256447167	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16271710	1457417	0	0	0	0
automatic	ephemeral	3	8388608	3	8	24576	260279208	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16362335	1474875	0	0	0	0
automatic	ephemeral	3	8388608	4	8	24576	257654416	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16375456	1507958	0	0	0	0
automatic	ephemeral	3	8388608	5	8	24576	255169500	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16308124	1487833	0	0	0	0
automatic	ephemeral	3	8388608	6	8	24576	255966667	4831838208	22	0	96864040	46160	96817880	6736	2519272	2272792	4194304	87	9043968	16391040	1518167	0	0	0	0
automatic	high	1	4194304	0	8	24576	346983667	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39449874	2942625	0	0	0	0
automatic	high	1	4194304	1	8	24576	344127959	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	38634957	2694083	0	0	0	0
automatic	high	1	4194304	2	8	24576	342580333	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	38295589	2730542	0	0	0	0
automatic	high	1	4194304	3	8	24576	344956625	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39216333	3016584	0	0	0	0
automatic	high	1	4194304	4	8	24576	341918125	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39675335	2965292	0	0	0	0
automatic	high	1	4194304	5	8	24576	345187000	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	38486920	2806834	0	0	0	0
automatic	high	1	4194304	6	8	24576	343341041	4831838208	23	0	96823360	24616776	72206584	24616776	27131464	2274048	4194304	407	28442624	39125458	2894208	0	0	0	0
