trigger	scenario	tenuring_age	moving	trigger_bytes	sample	rounds	batch	elapsed_ns	checksum	minor_collections	full_collections	young_input_bytes	survived_bytes	reclaimed_bytes	promoted_bytes	moving_minor_collections	moved_cells	moved_bytes	move_failures	live_bytes	young_bytes	next_threshold_bytes	backing_chunks	backing_capacity_bytes	pause_total_ns	pause_max_ns	cooperative_attempts	cooperative_collections	cooperative_parks	cooperative_timeouts
forced	ephemeral	1	0	4194304	0	8	24576	300245625	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	32633082	4652791	0	0	0	0
forced	ephemeral	1	0	4194304	1	8	24576	295595125	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	31362748	4236458	0	0	0	0
forced	ephemeral	1	0	4194304	2	8	24576	316870833	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	36695707	6868583	0	0	0	0
forced	ephemeral	1	0	4194304	3	8	24576	313091625	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	35820916	5830875	0	0	0	0
forced	ephemeral	1	0	4194304	4	8	24576	339670584	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	41837209	10887125	0	0	0	0
forced	ephemeral	1	0	4194304	5	8	24576	315503666	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	34560833	4891500	0	0	0	0
forced	ephemeral	1	0	4194304	6	8	24576	315384166	4831838208	8	0	99099392	1024	99098368	1024	0	0	0	0	246304	0	72057594037927935	127	13565952	34235959	4808208	0	0	0	0
forced	ephemeral	3	0	4194304	0	8	24576	296963750	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	32058042	4454292	0	0	0	0
forced	ephemeral	3	0	4194304	1	8	24576	293553833	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	31963331	4688250	0	0	0	0
forced	ephemeral	3	0	4194304	2	8	24576	310225958	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	36039041	6278166	0	0	0	0
forced	ephemeral	3	0	4194304	3	8	24576	318323083	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	34943583	6025167	0	0	0	0
forced	ephemeral	3	0	4194304	4	8	24576	316911500	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	34593042	5253750	0	0	0	0
forced	ephemeral	3	0	4194304	5	8	24576	309048292	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	33740250	4810500	0	0	0	0
forced	ephemeral	3	0	4194304	6	8	24576	315507000	4831838208	8	0	99100288	1024	99099264	0	0	0	0	0	245408	128	72057594037927935	127	13565952	34608416	4722166	0	0	0	0
