variant	mode	lanes	sample	order	elapsed_ns	checksum	max_rss_bytes
parent	independent_steady	1	0	0	123380916	1030552128	15040512
candidate	independent_steady	1	0	1	130020625	1030552128	15024128
candidate	independent_steady	1	1	0	121539542	1030552128	15024128
parent	independent_steady	1	1	1	126952833	1030552128	15024128
parent	independent_steady	1	2	0	117951541	1030552128	14991360
candidate	independent_steady	1	2	1	127967333	1030552128	15024128
candidate	independent_steady	1	3	0	120592250	1030552128	15056896
parent	independent_steady	1	3	1	124118750	1030552128	15073280
parent	independent_steady	1	4	0	118152917	1030552128	15007744
candidate	independent_steady	1	4	1	125374500	1030552128	15024128
candidate	independent_steady	1	5	0	122121292	1030552128	15024128
parent	independent_steady	1	5	1	120495542	1030552128	15056896
parent	independent_steady	1	6	0	124502625	1030552128	15040512
candidate	independent_steady	1	6	1	121144500	1030552128	14991360
parent	independent_steady	2	0	0	208299416	2066980992	24363008
candidate	independent_steady	2	0	1	132187334	2066980992	24477696
candidate	independent_steady	2	1	0	125765750	2066980992	23248896
parent	independent_steady	2	1	1	218548542	2066980992	24330240
parent	independent_steady	2	2	0	306809042	2066980992	24199168
candidate	independent_steady	2	2	1	140872958	2066980992	24444928
candidate	independent_steady	2	3	0	141874791	2066980992	24395776
parent	independent_steady	2	3	1	237857500	2066980992	22560768
parent	independent_steady	2	4	0	222874709	2066980992	24395776
candidate	independent_steady	2	4	1	147563541	2066980992	22675456
candidate	independent_steady	2	5	0	142179083	2066980992	24395776
parent	independent_steady	2	5	1	225011958	2066980992	23199744
parent	independent_steady	2	6	0	220250709	2066980992	24379392
candidate	independent_steady	2	6	1	133471500	2066980992	24428544
parent	independent_steady	4	0	0	773756833	4146563328	41205760
candidate	independent_steady	4	0	1	147850583	4146563328	38879232
candidate	independent_steady	4	1	0	148196208	4146563328	40992768
parent	independent_steady	4	1	1	766098958	4146563328	39124992
parent	independent_steady	4	2	0	767255875	4146563328	39649280
candidate	independent_steady	4	2	1	146724459	4146563328	43122688
candidate	independent_steady	4	3	0	152083959	4146563328	42926080
parent	independent_steady	4	3	1	766282000	4146563328	37584896
parent	independent_steady	4	4	0	775614583	4146563328	37486592
candidate	independent_steady	4	4	1	161205833	4146563328	41107456
candidate	independent_steady	4	5	0	148633250	4146563328	41435136
parent	independent_steady	4	5	1	772430958	4146563328	37634048
parent	independent_steady	4	6	0	796493791	4146563328	39583744
candidate	independent_steady	4	6	1	150442625	4146563328	40976384
parent	independent_steady	8	0	0	3039390917	8309369344	68042752
candidate	independent_steady	8	0	1	233724750	8309369344	70254592
candidate	independent_steady	8	1	0	215118333	8309369344	70057984
parent	independent_steady	8	1	1	3192571834	8309369344	66682880
parent	independent_steady	8	2	0	2986982583	8309369344	67878912
candidate	independent_steady	8	2	1	377776792	8309369344	68845568
candidate	independent_steady	8	3	0	262025542	8309369344	69042176
parent	independent_steady	8	3	1	3473028250	8309369344	68370432
parent	independent_steady	8	4	0	3253010958	8309369344	67944448
candidate	independent_steady	8	4	1	237193167	8309369344	72417280
candidate	independent_steady	8	5	0	247003125	8309369344	68485120
parent	independent_steady	8	5	1	3556619917	8309369344	66764800
parent	independent_steady	8	6	0	3506192250	8309369344	68304896
candidate	independent_steady	8	6	1	232123875	8309369344	70434816
parent	independent_cold	1	0	0	137572666	1030552128	13238272
candidate	independent_cold	1	0	1	131160959	1030552128	13221888
candidate	independent_cold	1	1	0	133676709	1030552128	13287424
parent	independent_cold	1	1	1	130267083	1030552128	13221888
parent	independent_cold	1	2	0	130733084	1030552128	13303808
candidate	independent_cold	1	2	1	135145750	1030552128	13287424
candidate	independent_cold	1	3	0	151740541	1030552128	13254656
parent	independent_cold	1	3	1	167277709	1030552128	13238272
parent	independent_cold	1	4	0	170089000	1030552128	13254656
candidate	independent_cold	1	4	1	135088833	1030552128	13271040
candidate	independent_cold	1	5	0	133037125	1030552128	13238272
parent	independent_cold	1	5	1	128788042	1030552128	13271040
parent	independent_cold	1	6	0	129630250	1030552128	13287424
candidate	independent_cold	1	6	1	135847917	1030552128	13271040
parent	independent_cold	2	0	0	246856208	2066980992	20611072
candidate	independent_cold	2	0	1	140693000	2066980992	20676608
candidate	independent_cold	2	1	0	140785166	2066980992	20742144
parent	independent_cold	2	1	1	220174375	2066980992	20709376
parent	independent_cold	2	2	0	232769000	2066980992	20791296
candidate	independent_cold	2	2	1	140985541	2066980992	20774912
candidate	independent_cold	2	3	0	139022208	2066980992	20725760
parent	independent_cold	2	3	1	269972125	2066980992	20676608
parent	independent_cold	2	4	0	247100250	2066980992	20692992
candidate	independent_cold	2	4	1	139419833	2066980992	20742144
candidate	independent_cold	2	5	0	139218042	2066980992	20725760
parent	independent_cold	2	5	1	231696417	2066980992	20758528
parent	independent_cold	2	6	0	248249417	2066980992	20709376
candidate	independent_cold	2	6	1	143227875	2066980992	20758528
parent	independent_cold	4	0	0	780726666	4146563328	35733504
candidate	independent_cold	4	0	1	163349250	4146563328	35536896
candidate	independent_cold	4	1	0	165641792	4146563328	35471360
parent	independent_cold	4	1	1	783498625	4146563328	35618816
parent	independent_cold	4	2	0	783604750	4146563328	35602432
candidate	independent_cold	4	2	1	162403208	4146563328	35848192
candidate	independent_cold	4	3	0	162322125	4146563328	35717120
parent	independent_cold	4	3	1	769295709	4146563328	35340288
parent	independent_cold	4	4	0	782817958	4146563328	35307520
candidate	independent_cold	4	4	1	173750250	4146563328	35766272
candidate	independent_cold	4	5	0	166696333	4146563328	35323904
parent	independent_cold	4	5	1	775614292	4146563328	35405824
parent	independent_cold	4	6	0	780234458	4146563328	35831808
candidate	independent_cold	4	6	1	160427334	4146563328	35618816
parent	independent_cold	8	0	0	2852717375	8309369344	64503808
candidate	independent_cold	8	0	1	244834083	8309369344	64471040
candidate	independent_cold	8	1	0	244188875	8309369344	64749568
parent	independent_cold	8	1	1	3443252291	8309369344	64061440
parent	independent_cold	8	2	0	3368828333	8309369344	64061440
candidate	independent_cold	8	2	1	237484958	8309369344	64798720
candidate	independent_cold	8	3	0	260292791	8309369344	64831488
parent	independent_cold	8	3	1	3011477000	8309369344	64471040
