variant	lanes	sample	elapsed_ns	checksum
parent	1	0	150130125	1030552128
candidate	1	0	157426125	1030552128
candidate	1	1	170649167	1030552128
parent	1	1	176663583	1030552128
parent	1	2	180503000	1030552128
candidate	1	2	147112458	1030552128
candidate	1	3	178923916	1030552128
parent	1	3	147567584	1030552128
parent	1	4	166164167	1030552128
candidate	1	4	165219791	1030552128
candidate	1	5	153630125	1030552128
parent	1	5	134712708	1030552128
parent	1	6	135656083	1030552128
candidate	1	6	140472334	1030552128
parent	2	0	218109542	2066980992
candidate	2	0	196576875	2066980992
candidate	2	1	188542334	2066980992
parent	2	1	240408334	2066980992
parent	2	2	154366083	2066980992
candidate	2	2	169309750	2066980992
candidate	2	3	184867333	2066980992
parent	2	3	187917292	2066980992
parent	2	4	151956083	2066980992
candidate	2	4	168244667	2066980992
candidate	2	5	178145416	2066980992
parent	2	5	154534083	2066980992
parent	2	6	151213250	2066980992
candidate	2	6	176868958	2066980992
parent	4	0	582187500	4146563328
candidate	4	0	615275333	4146563328
candidate	4	1	586874416	4146563328
parent	4	1	461621334	4146563328
parent	4	2	459782875	4146563328
candidate	4	2	570657916	4146563328
candidate	4	3	589645250	4146563328
parent	4	3	465892667	4146563328
parent	4	4	513544458	4146563328
candidate	4	4	575711167	4146563328
candidate	4	5	598575791	4146563328
parent	4	5	515348208	4146563328
parent	4	6	542489791	4146563328
candidate	4	6	602003417	4146563328
parent	8	0	2033680667	8309369344
candidate	8	0	2484979334	8309369344
candidate	8	1	2517902709	8309369344
parent	8	1	1988980084	8309369344
parent	8	2	2024319792	8309369344
candidate	8	2	2231834791	8309369344
candidate	8	3	2415537667	8309369344
parent	8	3	1723878791	8309369344
parent	8	4	1786705542	8309369344
candidate	8	4	2211235542	8309369344
candidate	8	5	2308334458	8309369344
parent	8	5	2130599292	8309369344
parent	8	6	1829101542	8309369344
candidate	8	6	2357016167	8309369344
