variant	lanes	sample	elapsed_ns	checksum
parent	1	0	133789792	1030552128
candidate	1	0	121193667	1030552128
candidate	1	1	123794041	1030552128
parent	1	1	145892583	1030552128
parent	1	2	129191959	1030552128
candidate	1	2	133747292	1030552128
candidate	1	3	132092250	1030552128
parent	1	3	138431292	1030552128
parent	1	4	133993292	1030552128
candidate	1	4	168916875	1030552128
candidate	1	5	192292583	1030552128
parent	1	5	142176541	1030552128
parent	1	6	174111542	1030552128
candidate	1	6	128569750	1030552128
parent	2	0	204968375	2066980992
candidate	2	0	178190792	2066980992
candidate	2	1	175881250	2066980992
parent	2	1	176543667	2066980992
parent	2	2	166938625	2066980992
candidate	2	2	176530500	2066980992
candidate	2	3	188355625	2066980992
parent	2	3	181595167	2066980992
parent	2	4	184127584	2066980992
candidate	2	4	191450625	2066980992
candidate	2	5	178958500	2066980992
parent	2	5	175806708	2066980992
parent	2	6	225147084	2066980992
candidate	2	6	192562125	2066980992
parent	4	0	612250166	4146563328
candidate	4	0	673350542	4146563328
candidate	4	1	590305958	4146563328
parent	4	1	695097750	4146563328
parent	4	2	606266416	4146563328
candidate	4	2	532500916	4146563328
candidate	4	3	557330834	4146563328
parent	4	3	535399708	4146563328
parent	4	4	608001583	4146563328
candidate	4	4	579023208	4146563328
candidate	4	5	560651583	4146563328
parent	4	5	493626292	4146563328
parent	4	6	451985584	4146563328
candidate	4	6	350585291	4146563328
parent	8	0	1737706333	8309369344
candidate	8	0	1877797084	8309369344
candidate	8	1	1613735917	8309369344
parent	8	1	1642291125	8309369344
parent	8	2	1782680541	8309369344
candidate	8	2	1842107792	8309369344
candidate	8	3	1942546041	8309369344
parent	8	3	1890992000	8309369344
parent	8	4	1860789417	8309369344
candidate	8	4	1852249583	8309369344
candidate	8	5	1836198250	8309369344
parent	8	5	1657647584	8309369344
parent	8	6	1430236541	8309369344
candidate	8	6	1773571209	8309369344
