variant	pair_sample	order	max_rss_bytes	workload	lanes	jobs	sample	elapsed_ns	checksum	attempts	collections	timeouts	peer_parks	exit_cleanups	pause_ns_total	pause_ns_max	rendezvous_ns_total	rendezvous_ns_max	tranche_bytes	bytes_issued	bytes_reset	bytes_current	minor_cycles	minor_prepare_ns	minor_trace_ns	minor_sweep_ns	minor_post_sweep_ns	full_cycles	full_prepare_ns	full_trace_ns	full_sweep_ns	full_post_sweep_ns	object_batch_calls	object_batch_cells	object_batch_ns_total	object_batch_ns_max	worker_runs	worker_run_ns	worker_run_ns_max	join_wait_ns	join_parks	heap_collections	heap_minor_collections	heap_live_cells	heap_young_cells	heap_young_bytes	last_minor_young_bytes	last_minor_reclaimed_bytes	last_minor_survived_cells	last_minor_survived_bytes	backing_chunks	backing_capacity_slots	backing_live_slots	backing_free_slots	kind
parent	0	0	279576576	object_churn	1	100	0	140743417	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	53189275	852041	1	140638000	140638000	140629708	26	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	0	1	279855104	object_churn	1	100	0	128940125	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	48623039	1727833	1	128837125	128837125	128830043	24	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	1	0	279871488	object_churn	1	100	0	128426292	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	45908953	1755292	1	128288125	128288125	128308206	24	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
parent	1	1	279543808	object_churn	1	100	0	134712917	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	49865146	362375	1	134610375	134610375	134606167	25	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
parent	2	0	279609344	object_churn	1	100	0	134983500	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	51769756	684833	1	134887583	134887583	134878586	25	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	2	1	279855104	object_churn	1	100	0	128214250	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	43527218	1094292	1	128035333	128035333	128106334	23	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	3	0	279838720	object_churn	1	100	0	129339042	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	46165620	1716584	1	129176000	129176000	129183794	24	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
parent	3	1	279494656	object_churn	1	100	0	135045583	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	50657895	1085583	1	134682417	134682417	134626045	25	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
parent	4	0	279511040	object_churn	1	100	0	134990250	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	51531280	542417	1	134902875	134902875	134867792	25	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	4	1	279855104	object_churn	1	100	0	127595167	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	43976118	1485750	1	127429958	127429958	127438914	23	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	5	0	279937024	object_churn	1	100	0	127738125	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	43715119	1244000	1	127637209	127637209	127618208	23	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
parent	5	1	279543808	object_churn	1	100	0	136084792	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	51853582	545542	1	135964041	135964041	135979957	25	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
parent	6	0	279511040	object_churn	1	100	0	134608000	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	7400	1999999	50450239	399625	1	134466792	134466792	134499750	25	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
candidate	6	1	279838720	object_churn	1	100	0	127109500	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1999999	45764293	1768917	1	126960417	126960417	127001081	23	0	0	2028333	2025702	259289856	25928960	25928960	0	0	3965	2032384	2029686	2698	zig-js-gc
