variant	kind	workload	lanes	jobs	sample	elapsed_ns	checksum	attempts	collections	timeouts	peer_parks	exit_cleanups	pause_ns_total	pause_ns_max	rendezvous_ns_total	rendezvous_ns_max	tranche_bytes	bytes_issued	bytes_reset	bytes_current	minor_cycles	minor_prepare_ns	minor_trace_ns	minor_sweep_ns	minor_post_sweep_ns	full_cycles	full_prepare_ns	full_trace_ns	full_sweep_ns	full_post_sweep_ns	object_batch_calls	object_batch_cells	object_batch_ns_total	object_batch_ns_max	worker_runs	worker_run_ns	worker_run_ns_max	join_wait_ns	join_parks	heap_collections	heap_minor_collections	heap_live_cells	heap_young_cells	heap_young_bytes	last_minor_young_bytes	last_minor_reclaimed_bytes	last_minor_survived_cells	last_minor_survived_bytes	backing_chunks	backing_capacity_slots	backing_live_slots	backing_free_slots
parent	zig-js-gc	object_churn	1	100	0	116525125	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	10291	192084	5125	166	7400	1999999	38910329	75791	1	116225958	116225958	116230169	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	0	115614042	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	8833	276458	4500	209	7400	1999999	39016284	91959	1	115236083	115236083	115238295	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	1	120811416	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	9167	274666	6125	209	7400	1999999	40447904	122167	1	120422292	120422292	120428875	22	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	1	100	1	118475000	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	6541	224875	4750	84	7400	1999999	39357691	70333	1	118151458	118151458	118152750	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	1	100	2	115999792	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	10417	220833	5875	42	7400	1999999	39232535	100167	1	115656333	115656333	115660542	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	2	149078500	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	9750	357834	6000	291	7400	1999999	47311221	1040916	1	148608459	148608459	148606374	26	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	3	115957583	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	7667	230125	5083	125	7400	1999999	39235956	100667	1	115627250	115627250	115633833	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	1	100	3	117722584	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	6500	219416	4667	167	7400	1999999	39626247	84875	1	117410125	117410125	117416040	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	1	100	4	116421959	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	6583	179875	4625	83	7400	1999999	39428398	110334	1	116145708	116145708	116151461	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	4	116761666	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	8542	223500	5166	125	7400	1999999	39742098	102417	1	116433125	116433125	116431585	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	5	118757042	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	9417	240875	7041	42	7400	1999999	40057532	125542	1	118409875	118409875	118406418	22	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	1	100	5	118695250	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	6125	226291	4792	167	7400	1999999	39947071	148000	1	118377750	118377750	118376957	22	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	1	100	6	114966458	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	8333	188333	4750	125	7400	1999999	39264642	101958	1	114679375	114679375	114680000	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
candidate	zig-js-gc	object_churn	1	100	6	117863750	1030552128	0	0	0	0	0	0	0	0	0	1073741824	0	0	0	0	0	0	0	0	1	7167	216000	4791	375	7400	1999999	40099035	146625	1	117548958	117548958	117550792	21	1	0	2028329	2025702	259289856	26189368	25928960	2627	260408	3965	2032384	2029680	2704
parent	zig-js-gc	object_churn	2	100	0	148308416	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	9292	229541	5542	250	14800	3999998	116470051	293417	2	295570584	147962292	147906832	28	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	0	143049083	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	6416	227250	5500	84	14800	3999998	111011731	183834	2	284926084	142707667	142699292	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	1	143203833	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	6708	232250	5542	167	14800	3999998	111949324	176834	2	285564208	142853500	142836753	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	2	100	1	147343959	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	6750	217875	5542	166	14800	3999998	112724233	164333	2	292621458	147015375	147000417	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	2	100	2	139836292	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	10958	362250	20208	834	14800	3999998	108991597	144083	2	278167333	139250708	139259792	25	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	2	143760458	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7292	210750	5583	83	14800	3999998	114044341	237541	2	286695417	143450750	143433460	26	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	3	143462417	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7000	703000	11167	458	14800	3999998	109936551	375958	2	284912083	142522208	142617419	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	2	100	3	144722625	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	8958	268084	5083	167	14800	3999998	112910506	150000	2	288404334	144216792	144320750	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	2	100	4	144198125	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	6917	221667	5333	292	14800	3999998	111678028	200875	2	287554208	143865125	143850750	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	4	184737583	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	8833	215667	5625	166	14800	3999998	125926298	2061708	2	365492376	184413042	184359503	32	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	5	138770875	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	6833	176417	5167	125	14800	3999998	106920233	134708	2	276384583	138488541	138481875	26	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	2	100	5	147482792	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	7333	227709	5666	250	14800	3999998	110106122	451125	2	294229333	147149583	147136417	28	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	2	100	6	144018250	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	9333	234667	6000	125	14800	3999998	110052451	221166	2	286982001	143667084	143649667	27	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
candidate	zig-js-gc	object_churn	2	100	6	144095791	2066980992	0	0	0	0	0	0	0	0	0	1073741824	518579200	0	518579200	0	0	0	0	0	1	6792	219000	4458	84	14800	3999998	111670888	155208	2	287308875	143783125	143764704	26	1	0	4054030	4051403	518579584	26189368	25928960	2627	260408	7921	4057856	4055381	2475
parent	zig-js-gc	object_churn	4	100	0	260881041	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	10042	240666	5584	250	29600	7999996	479480157	1463083	4	993395334	260531875	260463081	47	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	0	302351750	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	6667	226083	4292	83	29600	7999996	593778423	8952583	4	1174123958	301996250	301953537	53	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	1	350997959	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	14791	408375	8750	375	29600	7999996	705333437	10204875	4	1347308416	350331458	350252374	64	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
parent	zig-js-gc	object_churn	4	100	1	264960000	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	6084	242541	5125	42	29600	7999996	516538996	10019209	4	1038845874	264544417	264543536	49	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
parent	zig-js-gc	object_churn	4	100	2	290408000	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	6500	228042	5208	42	29600	7999996	538755589	10022458	4	1115316042	290071500	289913289	51	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	2	238758208	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	6417	222083	4542	83	29600	7999996	441280798	379292	4	928004584	238423625	238333289	44	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	3	237680708	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	13375	278125	7125	583	29600	7999996	458727885	1635916	4	930333041	237237333	237196628	44	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
parent	zig-js-gc	object_churn	4	100	3	233092042	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	8083	228959	4583	250	29600	7999996	463707949	470125	4	928703042	232615250	232681372	43	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
parent	zig-js-gc	object_churn	4	100	4	240443917	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	7208	192625	4875	167	29600	7999996	467968880	10037584	4	937764417	240006500	240082041	45	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	4	239796459	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	6500	219250	4750	83	29600	7999996	468973222	10030041	4	933976834	239408917	239400377	45	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	5	248867375	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	6917	213041	4417	83	29600	7999996	468461990	10022000	4	954643416	248528750	248469958	45	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
parent	zig-js-gc	object_churn	4	100	5	233585875	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	8333	217084	5291	42	29600	7999996	457118070	430125	4	925707126	233113834	233193748	43	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
parent	zig-js-gc	object_churn	4	100	6	234581125	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	7125	214792	5000	125	29600	7999996	458949384	712708	4	935481418	234264584	234208541	42	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
candidate	zig-js-gc	object_churn	4	100	6	236262792	4146563328	0	0	0	0	0	0	0	0	0	1073741824	1037158656	0	1037158656	0	0	0	0	0	1	8167	188417	5583	83	29600	7999996	439480748	308792	4	918265542	235950459	235835706	43	1	0	8105432	8102805	1037159040	26189368	25928960	2627	260408	15834	8109312	8106783	2529
